Player,Team,Season,Season Type,Games,Personal Fouls PG,Charges Drawn,Off. Fouls Drawn,Off. Fouls,Clear Path Fouls,Defensive 3 Seconds,Shooting Fouls Committed,Lost Ball Fouls,Technical Fouls,Flag. Foul Type 1,Flag. Foul Type 2
Jason Terry,Rockets,2015-2016,REG,64,1.3,1,1,2,0,1,61,1,1,1,0
Kobe Bryant,Lakers,2015-2016,REG,58,1.81,0,2,3,0,0,59,4,1,0,0
Tim Duncan,Spurs,2015-2016,REG,55,2.16,3,7,11,1,6,78,12,1,0,0
Salah Mejri,Mavericks,2015-2016,REG,26,1.38,0,0,4,0,2,25,3,1,0,0
Jeremy Lin,Hornets,2015-2016,REG,70,2.14,11,34,15,0,0,69,10,1,0,0
Joe Johnson,"Nets, Heat",2015-2016,REG,72,1.82,0,4,12,0,0,59,5,1,0,1
Julius Randle,Lakers,2015-2016,REG,73,3.04,2,5,24,0,1,123,31,1,0,0
Leandro Barbosa,Warriors,2015-2016,REG,60,1.62,1,7,9,0,0,45,3,1,0,0
Steve Blake,Pistons,2015-2016,REG,50,1.3,5,10,0,0,0,28,1,1,0,0
Tony Parker,Spurs,2015-2016,REG,66,1.61,1,8,4,1,0,57,1,1,0,0
JaKarr Sampson,"76ers, Nuggets",2015-2016,REG,66,1.94,0,3,10,0,0,75,10,1,3,0
Courtney Lee,"Grizzlies, Hornets",2015-2016,REG,70,1.66,2,8,4,0,1,79,1,1,0,0
Kirk Hinrich,"Bulls, Hawks",2015-2016,REG,42,1.52,6,11,2,1,0,36,0,1,0,0
Jusuf Nurkic,Nuggets,2015-2016,REG,27,2.67,0,5,12,0,4,41,4,1,0,0
Kristaps Porzingis,Knicks,2015-2016,REG,72,2.85,0,0,19,0,6,128,16,1,0,0
Anthony Morrow,Thunder,2015-2016,REG,60,0.95,0,3,3,0,0,41,0,1,0,0
Justin Anderson,Mavericks,2015-2016,REG,47,0.62,0,0,1,0,1,17,2,1,1,0
Jrue Holiday,Pelicans,2015-2016,REG,65,2.28,2,17,4,0,0,86,5,1,0,0
Gerald Henderson,Trail Blazers,2015-2016,REG,66,1.17,6,19,8,0,1,43,3,1,0,0
Derrick Favors,Jazz,2015-2016,REG,57,2.49,1,4,17,0,3,89,9,1,0,0
Solomon Hill,Pacers,2015-2016,REG,50,1.12,1,2,1,0,1,29,12,1,0,0
Luol Deng,Heat,2015-2016,REG,65,1.6,9,15,9,0,1,62,4,1,0,0
Danilo Gallinari,Nuggets,2015-2016,REG,53,1.64,11,25,8,0,1,53,9,1,1,0
Gorgui Dieng,Timberwolves,2015-2016,REG,74,2.76,8,18,31,0,1,119,18,1,1,0
Isaiah Canaan,76ers,2015-2016,REG,73,1.74,2,19,7,0,0,72,3,1,0,0
Thomas Robinson,Nets,2015-2016,REG,64,1.41,2,4,7,0,2,51,5,1,1,0
Damian Lillard,Trail Blazers,2015-2016,REG,68,2.31,12,39,6,0,0,112,2,1,0,0
Kelly Olynyk,Celtics,2015-2016,REG,61,2.43,6,14,15,0,7,90,16,1,0,0
Arron Afflalo,Knicks,2015-2016,REG,64,2.09,0,3,12,0,0,64,15,1,0,0
Jason Smith,Magic,2015-2016,REG,67,2.21,6,11,23,0,1,87,8,1,1,0
Michael Carter-Williams,Bucks,2015-2016,REG,54,3,3,25,8,0,0,87,11,1,0,0
Dewayne Dedmon,Magic,2015-2016,REG,50,1.84,2,3,6,0,2,58,5,1,0,0
Dennis Schroder,Hawks,2015-2016,REG,73,1.73,14,19,12,1,0,56,4,1,0,0
Will Barton,Nuggets,2015-2016,REG,75,1.8,1,11,11,0,2,62,7,1,0,0
JaMychal Green,Grizzlies,2015-2016,REG,70,2.46,9,10,17,1,1,101,10,1,0,0
Mirza Teletovic,Suns,2015-2016,REG,72,1.97,1,5,10,0,1,94,5,1,0,0
Raymond Felton,Mavericks,2015-2016,REG,73,1.68,2,13,8,0,0,72,5,1,0,0
Charlie Villanueva,Mavericks,2015-2016,REG,57,1.18,1,1,7,0,0,43,5,1,0,0
Kyle O'Quinn,Knicks,2015-2016,REG,58,1.59,0,2,13,0,5,59,8,1,2,0
Andre Roberson,Thunder,2015-2016,REG,63,1.92,0,6,0,1,0,73,3,1,0,0
Josh Smith,"Clippers, Rockets",2015-2016,REG,50,2.1,1,6,6,1,6,61,4,1,0,0
Shaun Livingston,Warriors,2015-2016,REG,69,1.72,0,4,7,1,3,67,3,1,0,0
Deron Williams,Mavericks,2015-2016,REG,62,2.35,11,24,5,1,1,89,1,1,2,0
Meyers Leonard,Trail Blazers,2015-2016,REG,61,3,1,6,17,0,0,129,7,1,1,0
